Population Size, CrossOver Rate, Mutation Rate, Tournament Size, Best Fitness, Elitism
3000, 0.65, 0.015, 10, 0.6, 19300
2500, 0.65, 0.005, 2, 0.2, 19945
3500, 0.55, 0.015, 2, 0.6, 19732
3500, 0.06, 0.015, 2, 0.4, 19873
3500, 0.07, 0.01, 2, 0.0, 20405
2500, 0.5, 0.02, 2, 0.0, 17970
3500, 0.06, 0.015, 5, 0.4, 18710
3000, 0.5, 0.02, 2, 0.0, 21954
3000, 0.5, 0.001, 2, 0.6, 20639
2500, 0.5, 0.01, 5, 0.2, 19743
3000, 0.07, 0.005, 5, 0.2, 17985
3000, 0.65, 0.01, 5, 0.0, 17765
3500, 0.06, 0.005, 5, 0.6, 21028
3500, 0.07, 0.015, 5, 0.6, 16960
3500, 0.55, 0.001, 5, 0.0, 19093
2500, 0.5, 0.005, 10, 0.2, 20914
3500, 0.55, 0.005, 5, 0.0, 19676
3500, 0.55, 0.015, 5, 0.2, 20258
3000, 0.07, 0.001, 5, 0.6, 19409
2500, 0.07, 0.001, 5, 0.6, 20456
3500, 0.65, 0.02, 5, 0.0, 19987
3000, 0.07, 0.02, 5, 0.6, 19155
3000, 0.06, 0.005, 2, 0.4, 19471
3500, 0.06, 0.02, 5, 0.2, 20566
3000, 0.07, 0.02, 10, 0.2, 20605
2500, 0.06, 0.015, 10, 0.0, 17524
3500, 0.07, 0.02, 10, 0.0, 21457
3500, 0.55, 0.02, 2, 0.4, 18011
3000, 0.55, 0.015, 5, 0.4, 19642
3000, 0.5, 0.005, 10, 0.0, 20527
3000, 0.5, 0.005, 5, 0.0, 20059
3000, 0.55, 0.015, 10, 0.0, 19558
3500, 0.55, 0.001, 5, 0.4, 19332
3000, 0.5, 0.015, 10, 0.4, 20138
3000, 0.65, 0.02, 10, 0.6, 19283
3000, 0.07, 0.02, 2, 0.2, 20468
3500, 0.55, 0.01, 5, 0.0, 19795
2500, 0.5, 0.001, 10, 0.0, 20951
3500, 0.55, 0.001, 10, 0.6, 20221
3000, 0.07, 0.015, 2, 0.0, 18851
3500, 0.5, 0.001, 10, 0.6, 20098
3500, 0.07, 0.005, 5, 0.0, 19027
3000, 0.06, 0.015, 2, 0.6, 21007
3500, 0.65, 0.015, 10, 0.4, 17206
3500, 0.07, 0.001, 5, 0.2, 19540
3500, 0.65, 0.015, 2, 0.4, 19627
3000, 0.07, 0.005, 10, 0.4, 20303
2500, 0.65, 0.01, 10, 0.4, 21244
3000, 0.06, 0.001, 10, 0.6, 19728
3500, 0.65, 0.015, 2, 0.0, 18137
3500, 0.07, 0.001, 2, 0.6, 18837
3000, 0.07, 0.01, 10, 0.6, 18972
3500, 0.55, 0.005, 2, 0.4, 20578
2500, 0.07, 0.005, 2, 0.0, 19282
2500, 0.5, 0.001, 2, 0.4, 19765
2500, 0.06, 0.02, 2, 0.4, 19192
3000, 0.65, 0.01, 2, 0.2, 19132
3500, 0.65, 0.001, 2, 0.2, 18632
3000, 0.06, 0.005, 2, 0.2, 20706
3000, 0.07, 0.015, 10, 0.6, 20888
2500, 0.06, 0.001, 2, 0.6, 19459
2500, 0.65, 0.01, 2, 0.2, 18731
3000, 0.55, 0.001, 2, 0.6, 18685
2500, 0.07, 0.015, 10, 0.6, 20148
3500, 0.07, 0.005, 10, 0.4, 18556
3000, 0.5, 0.005, 10, 0.4, 19486
3500, 0.65, 0.01, 10, 0.4, 17887
2500, 0.07, 0.015, 2, 0.2, 19365
2500, 0.5, 0.005, 2, 0.2, 20945
3500, 0.55, 0.02, 2, 0.0, 18992
3000, 0.06, 0.001, 2, 0.2, 20157
2500, 0.55, 0.015, 10, 0.4, 19150
2500, 0.65, 0.015, 2, 0.6, 19176
3000, 0.65, 0.001, 2, 0.6, 20073
3500, 0.65, 0.01, 10, 0.6, 20379
2500, 0.55, 0.01, 10, 0.4, 19920
3000, 0.5, 0.001, 2, 0.2, 19162
2500, 0.5, 0.015, 5, 0.4, 20827
3000, 0.5, 0.005, 10, 0.2, 20374
2500, 0.55, 0.005, 2, 0.2, 19578
3000, 0.07, 0.005, 2, 0.2, 19548
3000, 0.65, 0.01, 10, 0.4, 18437
2500, 0.07, 0.001, 5, 0.2, 20593
3000, 0.07, 0.005, 10, 0.0, 19312
3500, 0.5, 0.001, 2, 0.6, 19301
3500, 0.65, 0.005, 2, 0.0, 19766
2500, 0.65, 0.015, 10, 0.0, 19072
3500, 0.65, 0.001, 2, 0.4, 19233
3500, 0.55, 0.01, 2, 0.2, 20253
2500, 0.55, 0.01, 10, 0.6, 20280
3000, 0.07, 0.001, 2, 0.0, 19853
2500, 0.07, 0.015, 5, 0.2, 20930
2500, 0.5, 0.015, 2, 0.6, 18553
3000, 0.65, 0.005, 10, 0.4, 18035
3500, 0.07, 0.005, 2, 0.2, 19908
3500, 0.07, 0.015, 2, 0.6, 20190
3500, 0.65, 0.02, 10, 0.4, 19523
3500, 0.65, 0.01, 2, 0.4, 19365
3000, 0.5, 0.01, 10, 0.6, 20278
2500, 0.5, 0.005, 2, 0.0, 17801
3500, 0.65, 0.001, 2, 0.6, 20721
3500, 0.65, 0.02, 10, 0.6, 20778
3500, 0.65, 0.001, 10, 0.6, 19322
3000, 0.55, 0.015, 2, 0.6, 20423
3000, 0.5, 0.01, 2, 0.2, 20930
2500, 0.65, 0.01, 2, 0.4, 21083
3500, 0.5, 0.001, 2, 0.4, 20852
3500, 0.07, 0.015, 10, 0.0, 19752
